,Gamer,AVG VIEWERS,TIME STREAMED(h),hours,ALL TIME PEAK VIEWERS,HOURS WATCHED,RANK,FOLLOWERS GAINED,TOTAL FOLLOWERS,TOTAL VIEWS
0,KINGSLEAGUE,"141,118",71.8,hours,"1,098,636",10.1M,2,+111K,2.62M,446K
1,IBAI,"62,765",112.7,hours,"3,356,074",7.07M,6,+84.7K,13.1M,359M
2,ILLOJUAN,"39,495",125.7,hours,"172,186",4.96M,15,+59.2K,3.36M,72.0M
3,AURONPLAY,"43,589",89.6,hours,"602,038",3.90M,17,+75.9K,15.2M,263M
4,ELMARIANA,"34,584",95.7,hours,"128,442",3.31M,23,+174K,7.66M,33.3M
5,RUBIUS,"21,260",158.1,hours,"372,079",3.36M,35,+78.1K,14.1M,273M
6,ELSPREEN,"35,170",52.3,hours,"403,954",1.84M,38,+98.0K,7.76M,32.9M
7,ROIER,"21,288",115.8,hours,"300,741",2.46M,52,+134K,1.83M,3.27M
8,QUACKITYTOO,"39,359",13.9,hours,"140,697",547K,57,+70.3K,4.21M,3.51M
9,ELXOKAS,"12,858",181.7,hours,"1,208,144",2.34M,74,+30.8K,3.37M,96.9M
10,RIVERS_GG,"19,351",87.2,hours,"163,821",1.69M,77,+160K,3.81M,4.56M
11,GERARDROMERO,"13,544",143.4,hours,"146,872",1.94M,89,+30.0K,621K,4.54M
12,DAVOOXENEIZE,"16,294",101.5,hours,"46,109",1.65M,92,+67.2K,1.19M,1.88M
13,LVPES,"7,504",229.3,hours,"232,608",1.72M,118,+3.3K,1.07M,241M
14,JUANSGUARNIZO,"15,139",64.5,hours,"409,967",976K,120,+52.1K,10.5M,168M
15,THEGREFG,"12,043",100.8,hours,"2,470,347",1.21M,123,+29.2K,11.3M,263M
16,MIXWELL,"10,785",115,hours,"87,546",1.24M,129,+14.5K,981K,26.4M
17,KNEKRO,"6,120",218.6,hours,"60,150",1.34M,158,+10.9K,989K,64.4M
18,LIENDRA,"17,202",14.4,hours,"43,616",247K,164,+23.5K,231K,5.8K
19,SPURSITO,"14,892",27.6,hours,"71,515",412K,171,+15.4K,1.32M,13.0M
20,NILOJEDA,"12,094",51.9,hours,"74,775",627K,181,+28.5K,1.01M,6.06M
21,LACOBRAAA,"7,105",151.3,hours,"39,284",1.07M,186,+37.2K,555K,2.64M
22,PANPOTS,"6,824",152.6,hours,"31,508",1.04M,192,+31.3K,147K,2.94M
23,ALDO_GEO,"7,781",113.9,hours,"53,044",886K,208,+48.5K,1.42M,4.83M
24,JOSEDEODO,"7,557",105.8,hours,"14,015",799K,226,+16.6K,397K,3.06M
25,LLA,"8,603",71.2,hours,"302,299",613K,252,+2.8K,628K,35.0M
26,BRUNENGER,"6,836",109.5,hours,"147,498",748K,261,+12.9K,1.02M,25.0M
27,MISSASINFONIA,"12,192",15.5,hours,"89,852",189K,276,+28.0K,3.78M,8.60M
