Gamer,AVG VIEWERS,TIME STREAMED(h),ALL TIME PEAK VIEWERS,HOURS WATCHED,RANK,FOLLOWERS GAINED,TOTAL FOLLOWERS,TOTAL VIEWS
ELMARIANA,35.284,89.7,128442,3160000.0,23,163000,7660000,33299999
RIVERS_GG,20.381,83.3,163821,1700000.0,79,162000,3830000,4560000
ROIER,21.252,104.2,300741,2210000.0,62,124000,1830000,3270000
KINGSLEAGUE,137.466,81.8,1098636,11200000.0,1,124000,2640000,446000
ELSPREEN,35.532,52.4,403954,1860000.0,38,99000,7770000,32900000
IBAI,58.934,111.3,3356074,6560000.0,7,80200,13100000,359000000
RUBIUS,21.111,166.3,372079,3510000.0,35,80200,14100000,273000000
AURONPLAY,43.448,90.9,602038,3950000.0,18,76400,15200000,263000000
QUACKITYTOO,39.359,13.9,140697,547000.0,56,70300,4210000,3510000
ALIMENTACIONCHINO,345.0,295.0,4682,102000.0,3639,65900,66500,0
DAVOOXENEIZE,16.129,91.9,46109,1480000.0,101,55700,1190000,1880000
ILLOJUAN,40.312,118.6,172186,4780000.0,16,55700,3360000,72000000
JUANSGUARNIZO,15.293,67.4,409967,1030000.0,117,50200,10500000,168000000
ARIGAMEPLAYS,3.709,49.5,281402,184000.0,830,49400,6130000,36900000
CARRERAAA,9.928,36.8,120972,365000.0,287,47900,3630000,10700000
ALDO_GEO,7.948,111.3,53044,884000.0,204,47700,1420000,4830000
RENE8808,2.531,104.1,6029,264000.0,901,44100,177000,0
RDJAVI,6.58,74.1,9770,487000.0,350,41200,255000,325000
AGENTEMAXO,2.568,118.9,42327,305000.0,818,40900,1250000,20200000
LACOBRAAA,7.304,145.9,39284,1070000.0,185,36200,556000,2640000
GERARDROMERO,13.802,152.7,146872,2110000.0,86,33800,626000,4540000
ELXOKAS,12.749,197.5,1208144,2520000.0,76,33300,3380000,96900000
PANPOTS,6.976,148.8,31508,1040000.0,190,31200,147000,2940000
THEGREFG,12.686,95.2,2470347,1210000.0,124,29800,11300000,263000000
NILOJEDA,12.381,51.5,74775,637000.0,177,28800,1010000,6060000
PELICANGER,2.48,104.3,42706,259000.0,923,28300,571000,1570000
MAZZATOMAS,2.774,96.2,10366,267000.0,846,28200,310000,205000
MISSASINFONIA,12.192,15.5,89852,189000.0,272,28000,3780000,8600000
AMZ3T,1.246,29.6,5524,36800.0,3117,28000,35800,0
LOKONAZO1,529.0,583.6,21212,308000.0,1337,27400,406000,3320000
LAWLERGG,2.415,85.3,15245,206000.0,1072,27300,104000,29000
STARYUUKI,2.978,106.4,33699,317000.0,742,26700,3080000,42300000
LIENDRA,16.696,15.2,43616,253000.0,170,24700,253000,5800
ESPE,3.569,30.7,22889,110000.0,1026,24600,795000,8540000
BUTI_SITO,3.212,19.9,6139,63700.0,1261,22800,21400,0
ALANALARANA,836.0,181.6,12515,152000.0,2107,22600,363000,351000
VIIZZZM,1.842,107.1,4503,197000.0,1267,22500,345000,258000
CRYSTALMOLLY,3.129,100.7,12070,315000.0,726,21900,218000,1900000
ESPERANZAARRIBAS_OFICIAL,22.0,23.8,34,517.0,111976,21500,62100,47
MISHOAMOLI,1.194,25.9,6746,30900.0,3330,20600,49100,75600
THEDANIREP,2.483,80.8,32001,201000.0,1064,20400,1940000,6950000
JOANPRADELLSIFBBPRO,604.0,119.4,3865,72100.0,3737,20200,82500,22700
AGUSTIN51,3.11,95.5,30795,297000.0,751,19800,705000,2850000
NOE9977,2.863,23.6,22165,67500.0,1387,17800,387000,2670000
SLAKUN10,7.957,22.2,247577,177000.0,428,17600,4750000,17500000
LOSFUTBOLITOS,2.017,20.1,23451,40400.0,2050,17300,116000,0
JOKKIJOKKI,267.0,79.6,3296,21200.0,9326,16900,40300,6100
SPURSITO,17.526,26.9,71515,472000.0,141,16900,1320000,13000000
CAROLA,3.987,115.2,79320,459000.0,490,16400,1620000,20300000
LAAGUSNETA,2.408,140.2,9122,338000.0,793,16400,178000,47700
DIDIWINXX,321.0,67.6,1033,21700.0,8459,16000,284000,260000
LARODRICE,2.283,10.0,3705,22800.0,1971,15800,19200,0
CAPITANGATOO,1.367,33.3,67657,45500.0,2786,15700,1080000,983000
SHADOUNE666,1.416,145.9,690360,207000.0,1394,15400,1750000,13200000
BAITYBAIT,4.791,96.6,19060,463000.0,435,15300,206000,377000
ISVOLCANO,3.525,211.7,26980,746000.0,361,15100,176000,5400000
ADRICONTRERAS4,2.49,44.2,37526,110000.0,1370,14700,294000,414000
IJENZ,859.0,715.2,4212,615000.0,641,14300,855000,14300000
AQUINO,3.873,98.1,11477,380000.0,575,14200,711000,5390000
AMABLITZ,742.0,45.7,67925,33900.0,4544,14100,972000,2610000
XXXTHEFOCUSXXX,1.865,177.6,51974,331000.0,895,14000,1740000,20700000
MIXWELL,10.999,111.3,87546,1220000.0,130,13900,981000,26400000
XCRY,1.286,50.5,10198,64900.00000000001,2633,13900,1400000,8279999
LUZU_TV,2.174,256.5,10317,558000.0,562,13800,273000,411000
JOSEDEODO,7.793,90.5,14015,705000.0,245,13800,397000,3060000
PISO18TV,814.0,117.5,3312,95600.0,2851,13300,101000,0
HARRYALEXOK,217.0,79.8,537,17300.0,11028,13300,66200,145000
ELFEDELOBO,2.225,54.1,22056,120000.0,1430,13200,680000,4410000
SHELAO,5.573,14.4,14712,80200.0,716,13100,396000,4630000
VICKYPALAMI,3.818,101.3,31330,387000.0,572,13000,730000,3980000
IKERCASILLAS,1.642,24.1,19389,39500.0,2504,12900,134000,0
BALDU,1.392,127.8,15250,178000.0,1537,12700,205000,2380000
ELDED,4.408,187.7,54483,828000.0,316,12700,5460000,82400000
KHLOETV,266.0,67.2,1611,17900.0,9937,12600,39300,479
BRUNENGER,6.907,103.3,147498,714000.0,271,12500,1020000,25000000
ANSICHAN,325.0,176.3,5157,57300.0,5401,12100,341000,931000
MICTIA00,1.138,231.9,13944,264000.0,1277,12000,419000,3090000
ZLATAR,1.15,110.6,3279,127000.0,2036,11700,101000,102000
HORCUS,1.484,169.2,4913,251000.0,1200,11700,355000,9510000
ALEWANG,431.0,53.4,9999,23000.0,7117,11700,781000,2210000
ROCIODTA,977.0,130.4,22501,127000.0,2214,11600,869000,5800000
EMIKUKIS,1.491,74.5,8552,111000.0,1887,11600,607000,1200000
FILISGG,523.0,136.1,20716,71200.0,3982,11400,212000,497000
AXOZER,1.331,197.3,557151,263000.0,1210,11400,2790000,28900000
REVENANT,3.809,164.7,18544,627000.0,402,11300,443000,34700000
MONTOYATR,1.313,47.9,9384,62900.0,2620,11300,72600,7300
ELVIEJOESTEBAN,353.0,91.0,1598,32100.0,6981,11300,25500,40
WESTCOL,7.631,9.6,147569,72900.0,517,11100,1270000,5120000
NONI,1.551,81.4,88741,126000.0,1736,11100,762000,843000
RICKYEDIT,2.176,50.9,26908,111000.0,1493,11000,843000,15800000
UNICORNIO,3.116,44.3,18760,138000.0,1069,11000,957000,14500000
CHIRINGUITOENVIVO,1.926,104.5,8239,201000.0,1223,10900,20100,0
XYPHER7X,148.0,7.1,213,1100.0,23720,10700,15000,0
ROSANGELAESLO,712.0,76.2,4619,54200.0,3941,10700,31000,0
