Gamer,AVG VIEWERS,TIME STREAMED(h),ALL TIME PEAK VIEWERS,HOURS WATCHED,RANK,FOLLOWERS GAINED,TOTAL FOLLOWERS,TOTAL VIEWS
KINGSLEAGUE,137.466,81.8,1098636,11200000.0,1,124000,2640000,446000
IBAI,58.934,111.3,3356074,6560000.0,7,80200,13100000,359000000
AURONPLAY,43.448,90.9,602038,3950000.0,18,76400,15200000,263000000
ILLOJUAN,40.312,118.6,172186,4780000.0,16,55700,3360000,72000000
QUACKITYTOO,39.359,13.9,140697,547000.0,56,70300,4210000,3510000
ELSPREEN,35.532,52.4,403954,1860000.0,38,99000,7770000,32900000
ELMARIANA,35.284,89.7,128442,3160000.0,23,163000,7660000,33299999
ROIER,21.252,104.2,300741,2210000.0,62,124000,1830000,3270000
RUBIUS,21.111,166.3,372079,3510000.0,35,80200,14100000,273000000
RIVERS_GG,20.381,83.3,163821,1700000.0,79,162000,3830000,4560000
SPURSITO,17.526,26.9,71515,472000.0,141,16900,1320000,13000000
LIENDRA,16.696,15.2,43616,253000.0,170,24700,253000,5800
DAVOOXENEIZE,16.129,91.9,46109,1480000.0,101,55700,1190000,1880000
JUANSGUARNIZO,15.293,67.4,409967,1030000.0,117,50200,10500000,168000000
GERARDROMERO,13.802,152.7,146872,2110000.0,86,33800,626000,4540000
ELXOKAS,12.749,197.5,1208144,2520000.0,76,33300,3380000,96900000
THEGREFG,12.686,95.2,2470347,1210000.0,124,29800,11300000,263000000
NILOJEDA,12.381,51.5,74775,637000.0,177,28800,1010000,6060000
MISSASINFONIA,12.192,15.5,89852,189000.0,272,28000,3780000,8600000
MIXWELL,10.999,111.3,87546,1220000.0,130,13900,981000,26400000
CARRERAAA,9.928,36.8,120972,365000.0,287,47900,3630000,10700000
ELYOYALOL,8.429,27.6,29964,233000.0,367,10700,194000,746000
LLA,8.377,60.7,302299,509000.0,292,2100,628000,35000000
SLAKUN10,7.957,22.2,247577,177000.0,428,17600,4750000,17500000
ALDO_GEO,7.948,111.3,53044,884000.0,204,47700,1420000,4830000
JOSEDEODO,7.793,90.5,14015,705000.0,245,13800,397000,3060000
WESTCOL,7.631,9.6,147569,72900.0,517,11100,1270000,5120000
LACOBRAAA,7.304,145.9,39284,1070000.0,185,36200,556000,2640000
PANPOTS,6.976,148.8,31508,1040000.0,190,31200,147000,2940000
BRUNENGER,6.907,103.3,147498,714000.0,271,12500,1020000,25000000
LVPES,6.827,220.6,232608,1510000.0,142,3000,1070000,241000000
RDJAVI,6.58,74.1,9770,487000.0,350,41200,255000,325000
DIARIO_AS,6.082,43.8,10484,266000.0,483,698,10700,36700
RICOY,6.054,107.6,57407,652000.0,319,6200,381000,18400000
ZONAGEMELOS,5.996,9.3,11483,55500.0,701,4500,95800,83100
AGUSTINUNAPLAY8,5.978,97.2,21039,581000.0,338,6200,218000,1110000
KNEKRO,5.777,225.1,60150,1300000.0,174,9900,991000,64400000
SHELAO,5.573,14.4,14712,80200.0,716,13100,396000,4630000
NISSAXTER,5.142,130.1,17078,669000.0,336,8600,713000,12000000
ANDYPSX,4.959,65.3,16722,324000.0,531,1600,99200,3700000
GONCHO,4.859,101.2,62766,492000.0,422,7100,1230000,41900000
LUQUITARODRIGUEZ,4.829,73.9,29880,357000.0,511,9000,407000,4010000
BAITYBAIT,4.791,96.6,19060,463000.0,435,15300,206000,377000
ZEROSPOKER,4.723,83.1,15744,393000.0,486,8100,97200,1680000
ELZEEIN,4.615,118.1,21330,545000.0,405,8100,383000,318000
ALEXELCAPO,4.536,84.6,108851,384000.0,513,3300,1040000,79800000
SHADITZ7,4.491,8.4,9139,37900.0,977,3200,8800,947
ELDED,4.408,187.7,54483,828000.0,316,12700,5460000,82400000
