UPLOADS,SUBSCRIBERS,VIDEO VIEWS,COUNTRY,CHANNEL TYPE,USER CREATED,Gamer
546,41200,2614048,ES,Games,2010-04-21,Gladoop
14,150,810104,BR,Music,2005-12-19,Hiper
105,26700,221651,ES,Games,2015-01-22,Jennifer123x
2175,152000,35180777,ES,Games,2014-09-21,Dheylo
0,7220,0,Nn,,2018-06-14,Lolito
20,340,61200,Nn,,2020-09-03,LadyBoss
1,6,1914,MX,Film,2010-08-27,Sr Serpiente
10,14,4495,ES,Entertainment,2010-01-09,ANDREA COMPTON
108,573000,21408354,ES,Entertainment,2015-07-05,AROYITT
72,218000,14780798,ES,Entertainment,2013-04-04,BORJA PAVON
4,2850,83939,ES,Games,2013-04-03,CORVUS CLAN
2,59,3508434,ES,Music,2008-08-11,ESTOPA
13,3770,28614,ES,Games,2013-06-22,JEN HERRANZ
0,138000,0,ES,People,2014-05-01,Jordi Wild
0,198,0,ES,Comedy,2006-03-30,Maya Pixelskaya
2049,783000,166506247,ES,Games,2006-08-04,Outconsumer
326,181000,8975432,ES,Games,2012-03-22,Paracetamor
27,135,836,ES,Games,2018-02-25,Pazos
1,6,1914,MX,Film,2010-08-27,Sr Serpiente
228,1960000,372850281,ES,Entertainment,2012-03-08,ZORMAN
2049,783000,166506247,ES,Games,2006-08-04,OUTCONSUMER
233,2049999,200794810,ES,Entertainment,2018-08-17,MARTA DÍAZ
20,340,61200,Nn,,2020-09-03,LadyBoss
1,6,1914,MX,Film,2010-08-27,Sr Serpiente
0,138000,0,ES,People,2014-05-01,JORDI WILD
574,418000,59263792,ES,Entertainment,2012-10-12,ToniEmcee
0,138000,0,ES,People,2014-05-01,Jordi Wild
1,95,2208,GR,People,2005-08-28,
355,830000,191868813,ES,Games,2006-04-16,Loulogio
2049,783000,166506247,ES,Games,2006-08-04,Outconsumer
10,14,4495,ES,Entertainment,2010-01-09,Andrea Compton
115,8330,927557,ES,Comedy,2011-07-24,Darío Eme Hache
8,67,2049,DE,People,2019-11-18,Pandarina
108,573000,21408354,ES,Entertainment,2015-07-05,Aroyitt
0,198,0,ES,Comedy,2006-03-30,Maya Pixelskaya
326,181000,8975432,ES,Games,2012-03-22,Paracetamor
2,59,3508434,ES,Music,2008-08-11,Estopa
0,96,0,BY,Games,2006-10-11,Alexby
2049,783000,166506247,ES,Games,2006-08-04,Outconsumer
147,56500,4776840,ES,Games,2020-07-16,Reseñas Cortas
947,2340,339601,BR,Games,2007-01-02,Martín Bello
8,11,1026,ES,Sports,2008-02-16,Javier Ruescas
72,218000,14780798,ES,Entertainment,2013-04-04,Borja Pavón
13,3770,28614,ES,Games,2013-06-22,Jen Herranz
4,2850,83939,ES,Games,2013-04-03,Corvus Clan
27,135,836,ES,Games,2018-02-25,Pazos
2,111,3369,FR,Film,2014-09-12,Salva Sevilla
349,12600,324267,ES,Games,2015-01-23,Sankhs
27,135,836,ES,Games,2018-02-25,Pazos
147,56500,4776840,ES,Games,2020-07-16,Reseñas Cortas
8,1260,9897,ES,People,2013-11-29,Pablo Reche
0,198,0,ES,Comedy,2006-03-30,Maya Pixelskaya
326,181000,8975432,ES,Games,2012-03-22,Paracetamor
13,3770,28614,ES,Games,2013-06-22,Jen Herranz
228,1960000,372850281,ES,Entertainment,2012-03-08,Zorman
4,2850,83939,ES,Games,2013-04-03,Corvus Clan
147,56500,4776840,ES,Games,2020-07-16,Reseñas Cortas
1,6,1914,MX,Film,2010-08-27,SrSerpiente
2049,783000,166506247,ES,Games,2006-08-04,Outconsumer
759,31600,6378666,ES,Games,2020-07-09,Chiclana & Friends
115,8330,927557,ES,Comedy,2011-07-24,Dario Eme Hache
1,6,1914,MX,Film,2010-08-27,Sr Serpiente
2049,783000,166506247,ES,Games,2006-08-04,Outconsumer
0,138000,0,ES,People,2014-05-01,Jordi Wild
16,308,3356,Nn,,2017-05-22,Álvaro Morata
228,27200,1296246,MX,Education,2015-01-29,Dani Carvajal
21,14,3275,Nn,,2010-09-18,Pablo Sarabia
10,14,4495,ES,Entertainment,2010-01-09,Andrea Compton
115,8330,927557,ES,Comedy,2011-07-24,Dario Eme Hache
72,218000,14780798,ES,Entertainment,2013-04-04,Borja Pavón
8,67,2049,DE,People,2019-11-18,Pandarina
147,56500,4776840,ES,Games,2020-07-16,Reseñas Cortas
759,31600,6378666,ES,Games,2020-07-09,Chiclana & Friends
132,12200,959949,ES,Autos,2006-09-27,Lucas Ordoñez
1,36,169,AR,Games,2011-01-29,ZETA
8,11,1026,ES,Sports,2008-02-16,Javier Ruescas
53,1620,137099,ES,Games,2011-09-13,Paz Boris
76,20900,293610,ES,Entertainment,2021-06-15,SUJAGG
95,196,381329,IT,Music,2008-08-10,AXEL
95,196,381329,IT,Music,2008-08-10,AXEL
2049,783000,166506247,ES,Games,2006-08-04,Outconsumer
0,2790,0,ES,Music,2009-08-17,Playverso
1,6,1914,MX,Film,2010-08-27,SrSerpiente
1437,514000,122670630,ES,Games,2011-09-07,The Catacroquer
40,10100,737391,ES,Games,2006-05-05,Lara Smirnova
2509,120000,17461614,ES,Games,2012-03-06,Elopi23
13,3770,28614,ES,Games,2013-06-22,Jen Herranz
349,12600,324267,ES,Games,2015-01-23,Sankhs
326,181000,8975432,ES,Games,2012-03-22,PARACETAMOR
1,6,1914,MX,Film,2010-08-27,SR SERPIENTE
2049,783000,166506247,ES,Games,2006-08-04,OUTCONSUMER
0,23,0,Nn,,2011-11-22,RAFAEL DE AZCÁRRAGA
0,96,0,BY,Games,2006-10-11,ALEXBY
12,35,8356,Nn,,2020-07-11,HURONA ROLERA
4,2850,83939,ES,Games,2013-04-03,CORVUSCLAN
2,59,3508434,ES,Music,2008-08-11,ESTOPA
8,67,2049,DE,People,2019-11-18,PANDARINA
0,138000,0,ES,People,2014-05-01,JORDI WILD
0,96,0,BY,Games,2006-10-11,ALEXBY
326,181000,8975432,ES,Games,2012-03-22,PARACETAMOR
478,1390000,98710395,ES,Games,2015-07-19,CRISTININI
350,681,21917,IN,Games,2017-12-29,VEGETTA
1,6,3148,ES,Music,2012-08-22,Richardbetacode
2049,783000,166506247,ES,Games,2006-08-04,OUTCONSUMER
1,6,1914,MX,Film,2010-08-27,SR SERPIENTE
4,2850,83939,ES,Games,2013-04-03,Corvus Clan
12,35,8356,Nn,,2020-07-11,Hurona Rolera
108,573000,21408354,ES,Entertainment,2015-07-05,Aroyitt
0,198,0,ES,Comedy,2006-03-30,Maya Pixelskaya
2,59,3508434,ES,Music,2008-08-11,ESTOPA
8,67,2049,DE,People,2019-11-18,Pandarina
20,340,61200,Nn,,2020-09-03,LadyBoss
88,20900,1370146,Nn,,2023-01-28,Ampeter
0,198,0,ES,Comedy,2006-03-30,Maya Pixelskaya
2049,783000,166506247,ES,Games,2006-08-04,Outconsumer
0,113,0,Nn,,2011-09-29,Bruno Sol
72,218000,14780798,ES,Entertainment,2013-04-04,Borja Pavón
349,12600,324267,ES,Games,2015-01-23,Sankhs
2509,120000,17461614,ES,Games,2012-03-06,Elopi23
624,361000,51109230,ES,News,2016-10-31,Rafael Escrig
0,198,0,ES,Comedy,2006-03-30,Maya Pixelskaya
3709,60100,56319151,GB,Games,2005-11-01,GAME
1167,722000,202941216,ES,Games,2016-04-19,Jugón Virtual
7,76,398,ES,Games,2011-10-01,Alehandoro
922,13000,1896978,ES,Games,2013-09-06,El Diario de Kode
759,31600,6378666,ES,Games,2020-07-09,Chiclana & Friends
1,6,1914,MX,Film,2010-08-27,Sr Serpiente
326,181000,8975432,ES,Games,2012-03-22,Paracetamor
427,653000,23259065,ES,Games,2017-12-18,Axozer
4,2850,83939,ES,Games,2013-04-03,Corvus Clan
8,67,2049,DE,People,2019-11-18,Pandarina
109,10000,483478,ES,Games,2012-08-08,Coque López
760,100000,23429619,ES,Games,2013-05-20,Madapls
192,27800,3388894,UA,Howto,2014-10-01,Zick
108,573000,21408354,ES,Entertainment,2015-07-05,Aroyitt
288,6480000,1165092274,ES,Music,2011-10-19,Kronno zomber
0,58,0,US,Games,2014-02-13,Maximus
91,17300,1091527,ES,Film,2005-11-20,Polispol
350,681,21917,IN,Games,2017-12-29,Vegetta
631,217000,60413978,Nn,,,BillyCherokee
132,12200,959949,ES,Autos,2006-09-27,Lucas Ordoñez
27,135,836,ES,Games,2018-02-25,Pazos
506,51700,7256425,ES,Games,2018-02-18,Arlan360
228,1960000,372850281,ES,Entertainment,2012-03-08,Zorman
0,96,0,BY,Games,2006-10-11,Alexby
0,138000,0,ES,People,2014-05-01,Jordi Wild
33,14,3443,Nn,,2020-04-08,Fargan
1200,2570000,426315434,ES,Entertainment,2012-05-01,Perxitaa
19,172000,53792375,ES,People,2020-04-16,Edurne
0,96,0,BY,Games,2006-10-11,alexby
0,138000,0,ES,People,2014-05-01,jordi wild
58,422,94925,IN,Games,2014-07-16,gaming corner
759,31600,6378666,ES,Games,2020-07-09,Chiclana & Friends
147,56500,4776840,ES,Games,2020-07-16,Reseñas Cortas
1,6,1914,MX,Film,2010-08-27,SrSerpiente
786,5860,1739136,ES,Sports,2014-02-20,zhakey
1,198,524,IN,Education,2006-02-19,kajal
3091,2530000,713439245,ES,Games,2009-02-13,luh
6,44,58407,ES,Autos,2008-09-12,aday canario
20,743,96984,RU,Games,2017-02-23,skyhammer
2997,34300,4232311,ES,Games,2015-06-23,churneo
326,181000,8975432,ES,Games,2012-03-22,paracetamor
27,135,836,ES,Games,2018-02-25,Pazos
2049,783000,166506247,ES,Games,2006-08-04,outconsumer
0,198,0,ES,Comedy,2006-03-30,maya pixelskaya
987,31800,4944508,ES,People,2018-07-29,psicothing
2,26600,2187346,ES,Games,2017-02-15,andariel
1,597,49,CL,People,2015-07-17,kerk
288,36000,1844716,ES,Games,2013-12-11,dilerion games
122,794,87351,ES,Games,2020-03-23,introjuegos
91,17300,1091527,ES,Film,2005-11-20,Polispol
8,67,2049,DE,People,2019-11-18,Pandarina
0,198,0,ES,Comedy,2006-03-30,Maya Pixelskaya
355,830000,191868813,ES,Games,2006-04-16,Loulogio
2509,120000,17461614,ES,Games,2012-03-06,Elopi23
759,31600,6378666,ES,Games,2020-07-09,Chiclana & Friends
326,181000,8975432,ES,Games,2012-03-22,Paracetamor
115,8330,927557,ES,Comedy,2011-07-24,DarioEmeHache
131,14000,716065,ES,Games,2021-02-18,ElviraYuki
27,135,836,ES,Games,2018-02-25,Pazos
349,12600,324267,ES,Games,2015-01-23,Sankhs
72,218000,14780798,ES,Entertainment,2013-04-04,Borja Pavón
2049,783000,166506247,ES,Games,2006-08-04,Outconsumer
1,6,1914,MX,Film,2010-08-27,SrSerpiente
41,91700,3420730,ES,Games,2020-10-26,Noe9977
2049,783000,166506247,ES,Games,2006-08-04,Outconsumer
1,6,1914,MX,Film,2010-08-27,Sr Serpiente
33,14,3443,Nn,,2020-04-08,Fargan
108,573000,21408354,ES,Entertainment,2015-07-05,Aroyitt
0,96,0,BY,Games,2006-10-11,Alexby
349,12600,324267,ES,Games,2015-01-23,Sankhs
349,12600,324267,ES,Games,2015-01-23,Sankhs
