Game,Viewers,Change,Global Share
Diablo IV,476000,0.01,0.14833
Just Chatting,327000,0.022000000000000002,0.10183999999999999
League of Legends,217000,0.037000000000000005,0.06753999999999999
Counter-Strike: Global Offensive,188000,0.06,0.05864
VALORANT,143000,0.07200000000000001,0.04457
Grand Theft Auto V,118000,0.046,0.03687
Sports,109000,0.131,0.03405
Dota 2,103000,0.275,0.03197
Minecraft,102000,0.40299999999999997,0.03188
FIFA 23,78200,0.304,0.024380000000000002
Street Fighter 6,57600,0.11699999999999999,0.01796
FINAL FANTASY IV,55800,0.008,0.017390000000000003
Fortnite,43900,0.084,0.01369
Rocket League,36100,0.047,0.01125
Apex Legends,35200,0.039,0.01097
Halo Infinite,34900,0.026000000000000002,0.01089
Casino Slot Machine,32100,0.073,0.01
Teamfight Tactics,31200,0.053,0.009729999999999999
Pokémon Omega Ruby/Alpha Sapphire,27300,0.011000000000000001,0.00852
Variety,27300,0.016,0.00851
Casino Slot Machine,27900,0.052000000000000005,0.00855
Pokémon Omega Ruby/Alpha Sapphire,27100,0.002,0.00831
Chess,25100,0.012,0.00769
Call of Duty: Warzone,25100,0.019,0.00769
Dead by Daylight,23900,0.004,0.00732
Trackmania,22700,0.07400000000000001,0.006979999999999999
Escape from Tarkov,19600,0.011000000000000001,0.00602
Rust,19100,0.10099999999999999,0.005849999999999999
Slots,18300,0.035,0.005620000000000001
Genshin Impact,17200,0.008,0.00527
PUBG: BATTLEGROUNDS,15200,0.077,0.0046700000000000005
World of Tanks,15000,0.027000000000000003,0.00459
Call of Duty: Modern Warfare II,13700,0.066,0.00419
Overwatch 2,13700,0.038,0.00419
Hearthstone,13000,0.12,0.0039900000000000005
The Legend of Zelda: Tears of the Kingdom,12700,0.012,0.0038900000000000002
Lost Ark,11600,0.005,0.00357
Virtual Casino,10900,0.12,0.00333
Madden NFL 23,10700,0.015,0.0033
Art,10400,0.028999999999999998,0.00318
New World,10300,0.006,0.00316
Black Desert,10100,0.02,0.0031
FINAL FANTASY XIV ONLINE,10100,0.044000000000000004,0.00308
SMITE,9700,0.009000000000000001,0.00298
Albion Online,9500,0.021,0.00292
ASMR,9300,0.016,0.0028499999999999997
ELDEN RING,9100,0.012,0.0027900000000000004
Old School RuneScape,8600,0.038,0.00263
Destiny 2,8500,0.012,0.00262
Tom Clancy's Rainbow Six Siege,8200,0.129,0.00252
Age of Empires II,8200,0.067,0.0025
Poly Bridge 3,7400,0.13699999999999998,0.00227
Pokémon Scarlet/Violet,7200,0.046,0.0022
Super Smash Bros. Ultimate,7100,0.003,0.00219
Demon's Souls,6900,0.032,0.00211
DayZ,6400,0.028999999999999998,0.00197
Mechabellum,6200,0.04,0.00189
Pools Hot Tubs and Beaches,6000,0.069,0.00185
Tibia,6000,0.051,0.00183
Poker,5800,0.043,0.00178
iRacing,5600,0.015,0.00172
Mahjong Soul,5600,8.4,0.0017000000000000001
Magic: The Gathering,5100,0.012,0.00156
Travel & Outdoors,4900,0.018000000000000002,0.00149
Retro,4800,0.009000000000000001,0.00147
Veiled Experts,4700,0.251,0.00146
Papers Please,4700,0.064,0.0014399999999999999
Project Zomboid,4700,0.015,0.0014299999999999998
Star Citizen,4400,0.006,0.00136
Honkai: Star Rail,4400,0.027999999999999997,0.00136
Only Up!,4100,0.441,0.00127
Hunt: Showdown,4100,0.061,0.00125
F1 22,4100,0.035,0.00125
FIFA Online 4,4000,0.233,0.00123
MapleStory,3900,0.015,0.00121
Red Dead Redemption 2,3900,0.036000000000000004,0.0011899999999999999
Super Mario World,3800,0.012,0.00116
Clash Royale,3800,0.11800000000000001,0.00116
VRChat,3700,0.031,0.00113
StarCraft,3700,0.017,0.0011200000000000001
ROBLOX,3600,0.009000000000000001,0.0011200000000000001
I'm Only Sleeping,3500,0.096,0.00109
Pokémon Black/White Version 2,3500,0.001,0.00108
NBA 2K23,3400,0.004,0.00104
Animals Aquariums and Zoos,3300,0.025,0.0010199999999999999
World of Warships,3300,0.002,0.0010199999999999999
Sea of Thieves,3300,0.009000000000000001,0.0010199999999999999
Star Wars Jedi: Survivor,3300,0.031,0.001
Marbles on Stream,3200,0.08199999999999999,0.00097
Farlight 84,3200,0.166,0.00097
Talk Shows & Podcasts,3100,0.09,0.00094
Epic Seven,3000,0.053,0.00092
The Outlast Trials,3000,0.672,0.00092
Age of Empires IV,3000,0.035,0.00091
Fall Guys,2900,0.05,0.00089
Heroes of Might and Magic III: The Restoration of Erathia,2800,0.006,0.0008699999999999999
Amnesia: The Bunker,2700,0.051,0.00084
Super Smash Bros. Melee,2700,0.053,0.00083
BETON BRUTAL,2700,0.028999999999999998,0.00082
Games + Demos,2700,0.20199999999999999,0.00082
