UPLOADS,SUBSCRIBERS,VIDEO VIEWS,COUNTRY,CHANNEL TYPE,USER CREATED,Gamer
157,325000,17923614,ES,People,2017-03-08,Miquel Montoro
787,80300,5140984,VE,Games,2015-05-18,Jesús Castro
19,1570,154950,ES,Howto,2011-10-07,Lola Rodríguez
12,257000,4779325,ES,Comedy,2012-09-29,PabloGShow
3,2680,58003,ES,People,2010-05-24,Benji Verdes
98,93100,5502349,ES,Games,2015-08-24,Zeling
33,9500,407047,ES,People,2021-11-01,Carmen Sandwich
1515,1350000,207838423,ES,Games,2011-12-19,LakshartNia
41,91700,3420730,ES,Games,2020-10-26,Noe9977
335,30600,4381578,ES,Sports,2021-02-27,Nico Abad
53,1620,137099,ES,Games,2011-09-13,Paz Boris
2299,1940000,404144789,ES,Entertainment,2012-03-12,Celopan
1861,1150000,446790643,ES,Games,2013-12-13,Deiak
5257,434000,150952797,ES,Games,2012-09-09,LyraGamer
566,1050000,149995877,ES,Comedy,2011-04-22,ILeoVlogs
0,14,0,Nn,,2014-12-10,Ampeterby
10,119,33495,PE,Games,2019-02-26,Vicenss
59,361,5650,Nn,,2017-02-23,Gladop
2175,152000,35180777,ES,Games,2014-09-21,Dheylo
432,16800,2277609,ES,Games,2020-02-18,Yuste
91,17300,1091527,ES,Film,2005-11-20,Polispol
10,14,4495,ES,Entertainment,2010-01-09,ANDREA COMPTON
25,161000,7609768,ES,Comedy,2014-12-17,DAVID SUAREZ
48,1340,3035259,CL,Autos,2009-10-19,JOAQUIN REYES
288,6480000,1165092274,ES,Music,2011-10-19,KRONNO ZOMBER
1300,2230000,673644058,FR,Howto,2005-10-10,CHANEL
27,135,836,ES,Games,2018-02-25,PAZOS
109,5340,357175,ES,Comedy,2012-08-05,JORGE YORYA
427,653000,23259065,ES,Games,2017-12-18,AXOZER
2175,152000,35180777,ES,Games,2014-09-21,DHEYLO
33,58300,1760167,ES,Games,2020-10-26,ANA MARRERO
