Rank,Gamer,Category,Number of Viewers,Percentage of Viewers,Game,Percentage Of Spanish viewership
1,KINGSLEAGUE,Sports,52347,0.3862, Sports,0.20120000000000002
2,IBAI,Sports,31219,0.2303, Sports,0.12
3,RIVERS_GG,Sports,25840,0.1906, Sports,0.0993
4,ELXOKAS,Diablo IV,8592,0.018600000000000002, Diablo IV,0.033
5,MUNDODEPORTIVO,Special Events,6550,0.618, Special Events,0.0252
6,ELMIILLOR,League of Legends,5223,0.0246, League  Legends,0.020099999999999996
7,REVENANT,Diablo IV,5105,0.0111, Diablo IV,0.0196
8,SOYMOTOR,Sports,4399,0.0325, Sports,0.0169
9,KNEKRO,Diablo IV,3928,0.0085, Diablo IV,0.0151
10,ROCKETSTREETLIVE,Rocket League,3142,0.106, Rocket League,0.0121
11,GEMITA,Sports,2641,0.0195, Sports,0.0102
12,SIRMAZA,VALORANT,2563,0.015600000000000001, VALORANT,0.009899999999999999
13,WERLYB,League of Legends,2431,0.011399999999999999, League  Legends,0.009300000000000001
14,TANIZEN,Rust,2248,0.1165, Rust,0.0086
15,XXXTHEFOCUSXXX,Rust,2146,0.1112, Rust,0.008199999999999999
16,MENOSTRECE,Dead by Daylight,1956,0.0922, Dead by Daylight,0.0075
17,VICTORABADG,Sports,1876,0.0138, Sports,0.0072
18,LAMEDIAINGLESA,Sports,1846,0.013600000000000001, Sports,0.0070999999999999995
19,JUJALAG,Diablo IV,1763,0.0038, Diablo IV,0.0068000000000000005
20,LLUNACLARK,Travel & Outdoors,1517,0.06280000000000001, Travel & Outdoors,0.0058
21,FORG1,Counter-Strike: Global Offensive,1568,0.0106, Counter-Strike: Global Offensive,0.0054
22,CHIGRE,FIFA 23,1567,0.0444, FIFA 23,0.0054
23,BLACKELESPANOLITO,VALORANT,1529,0.0105, VALORANT,0.0053
24,HORCUS,VALORANT,1502,0.0103, VALORANT,0.0052
25,ELYIHI,Sports,1491,0.0092, Sports,0.0052
26,SKAIN,League of Legends,1299,0.0059, League  Legends,0.0045000000000000005
27,ILUTVLIVE,Just Chatting,1201,0.0034000000000000002, Just Chatting,0.0042
28,BORJA_ZAZO,iRacing,1169,0.2334, iRacing,0.004
29,JUAN4TV,The Simpsons,1115,0.609, The Simpsons,0.0039000000000000003
30,JOANPRADELLSIFBBPRO,Just Chatting,1110,0.0031, Just Chatting,0.0038
31,ANDARIEL,Diablo IV,1051,0.0023, Diablo IV,0.0036
32,TONIKI,Overwatch 2,1037,0.0753, Overwatch 2,0.0036
33,ALIMENTACIONCHINO,League of Legends,1020,0.0046, League  Legends,0.0034999999999999996
34,LACHILENABELU,Just Chatting,1008,0.0028000000000000004, Just Chatting,0.0034999999999999996
35,SPEEDRUNSESPANOL,FINAL FANTASY IV,1003,0.0183, FINAL FANTASY IV,0.0034999999999999996
36,REVOLAIMAR,Clash Royale,980,0.3292, Clash Royale,0.0034000000000000002
37,MANUTEGAMING,Teamfight Tactics,946,0.0298, Teamfight Tactics,0.0033
38,NAKOO_FN,Fortnite,921,0.023399999999999997, Fortnite,0.0032
39,AXOZER,Just Chatting,835,0.0023, Just Chatting,0.0029
40,FG_MILI29,Fortnite,808,0.0206, Fortnite,0.0028000000000000004
41,AXOZER,Just Chatting,835,0.0023, Just Chatting,0.0029
42,FG_MILI29,Fortnite,808,0.0206, Fortnite,0.0028000000000000004
