UPLOADS,SUBSCRIBERS,VIDEO VIEWS,COUNTRY,USER CREATED,Gamer,CHANNEL TYPE
0,113,0,Nn,2011-09-29,Bruno Sol,
1517,37700,8101582,ES,2012-02-15,DjPrieto y neta,Entertainment
296,27000,1983966,ES,2019-08-08,Indies con Lara,Games
18,59,74290,US,2008-08-03,Jin Kisaragi,Music
2195,1050000,211421624,ES,2015-01-26,Kahuna Games,Games
20,340,61200,Nn,2020-09-03,LadyBoss,
2049,783000,166506247,ES,2006-08-04,Outconsumer,Games
1,6,3148,ES,2012-08-22,Richard Betacode,Music
1,6,1914,MX,2010-08-27,Sr Serpiente,Film
786,5860,1739136,ES,2014-02-20,Zhakey games,Sports
228,1960000,372850281,ES,2012-03-08,Zorman,Entertainment
1248,57100,11013151,ES,2017-04-23,LudikPlay,Games
51,495,10175,ES,2021-07-09,Trizia Curtis,Games
165,267000,27799534,ES,2013-09-10,LynxReviewer,Entertainment
288,36000,1844716,ES,2013-12-11,Dilerion Games,Games
123,1370,4693,IN,2019-10-21,Lyra Gaming,Games
115,321,14905,Nn,2021-07-28,Datana Gamer ,
