Gamer,AVG VIEWERS,TIME STREAMED(h),ALL TIME PEAK VIEWERS,HOURS WATCHED,RANK,FOLLOWERS GAINED,TOTAL FOLLOWERS,TOTAL VIEWS
KINGSLEAGUE,141.118,71.8,1098636,10100000.0,2,111000,2620000,446000
IBAI,62.765,112.7,3356074,7070000.0,6,84700,13100000,359000000
ILLOJUAN,39.495,125.7,172186,4960000.0,15,59200,3360000,72000000
AURONPLAY,43.589,89.6,602038,3900000.0,17,75900,15200000,263000000
ELMARIANA,34.584,95.7,128442,3310000.0,23,174000,7660000,33299999
RUBIUS,21.26,158.1,372079,3360000.0,35,78100,14100000,273000000
ELSPREEN,35.17,52.3,403954,1840000.0,38,98000,7760000,32900000
ROIER,21.288,115.8,300741,2460000.0,52,134000,1830000,3270000
QUACKITYTOO,39.359,13.9,140697,547000.0,57,70300,4210000,3510000
ELXOKAS,12.858,181.7,1208144,2340000.0,74,30800,3370000,96900000
RIVERS_GG,19.351,87.2,163821,1690000.0,77,160000,3810000,4560000
GERARDROMERO,13.544,143.4,146872,1940000.0,89,30000,621000,4540000
DAVOOXENEIZE,16.294,101.5,46109,1650000.0,92,67200,1190000,1880000
LVPES,7.504,229.3,232608,1720000.0,118,3300,1070000,241000000
JUANSGUARNIZO,15.139,64.5,409967,976000.0,120,52100,10500000,168000000
THEGREFG,12.043,100.8,2470347,1210000.0,123,29200,11300000,263000000
MIXWELL,10.785,115.0,87546,1240000.0,129,14500,981000,26400000
KNEKRO,6.12,218.6,60150,1340000.0,158,10900,989000,64400000
LIENDRA,17.202,14.4,43616,247000.0,164,23500,231000,5800
SPURSITO,14.892,27.6,71515,412000.0,171,15400,1320000,13000000
NILOJEDA,12.094,51.9,74775,627000.0,181,28500,1010000,6060000
LACOBRAAA,7.105,151.3,39284,1070000.0,186,37200,555000,2640000
PANPOTS,6.824,152.6,31508,1040000.0,192,31300,147000,2940000
ALDO_GEO,7.781,113.9,53044,886000.0,208,48500,1420000,4830000
JOSEDEODO,7.557,105.8,14015,799000.0,226,16600,397000,3060000
LLA,8.603,71.2,302299,613000.0,252,2800,628000,35000000
BRUNENGER,6.836,109.5,147498,748000.0,261,12900,1020000,25000000
MISSASINFONIA,12.192,15.5,89852,189000.0,276,28000,3780000,8600000
CARRERAAA,10.104,36.8,120972,371000.0,285,53700,3620000,10700000
