UPLOADS,SUBSCRIBERS,VIDEO VIEWS,COUNTRY,CHANNEL TYPE,USER CREATED,Gamer,Games,"Sep 19th, 2018"
546,41.2K,"2,614,048",ES,Games,"Apr 21st, 2010",Gladoop,,
14,150,"810,104",BR,Music,"Dec 19th, 2005",Hiper,,
105,26.7K,"221,651",ES,Games,"Jan 22nd, 2015",Jennifer123x,,
"2,175",152K,"35,180,777",ES,Games,"Sep 21st, 2014",Dheylo,,
0,7.22K,0,CHANNEL TYPE,,"Jun 14th, 2018",Lolito,,
20,340,"61,200",CHANNEL TYPE,,"Sep 3rd, 2020",LadyBoss,,
1,6,"1,914",MX,Film,"Aug 27th, 2010",Sr Serpiente,,
10,14,"4,495",ES,Entertainment,"Jan 9th, 2010",ANDREA COMPTON,,
108,573K,"21,408,354",ES,Entertainment,"Jul 5th, 2015",AROYITT,,
72,218K,"14,780,798",ES,Entertainment,"Apr 4th, 2013",BORJA PAVON,,
4,2.85K,"83,939",ES,Games,"Apr 3rd, 2013",CORVUS CLAN,,
2,59,"3,508,434",ES,Music,"Aug 11th, 2008",ESTOPA,,
13,3.77K,"28,614",ES,Games,"Jun 22nd, 2013",JEN HERRANZ,,
0,138K,0,ES,People,"May 1st, 2014",Jordi Wild,,
0,198,0,ES,Comedy,"Mar 30th, 2006",Maya Pixelskaya,,
"2,049",783K,"166,506,247",ES,Games,"Aug 4th, 2006",Outconsumer,,
326,181K,"8,975,432",ES,Games,"Mar 22nd, 2012",Paracetamor,,
27,135,836,ES,Games,"Feb 25th, 2018",Pazos,,
1,6,"1,914",MX,Film,"Aug 27th, 2010",Sr Serpiente,,
228,1.96M,"372,850,281",ES,Entertainment,"Mar 8th, 2012",ZORMAN,,
"2,049",783K,"166,506,247",ES,Games,"Aug 4th, 2006",OUTCONSUMER,,
233,2.05M,"200,794,810",ES,Entertainment,"Aug 17th, 2018",MARTA DÍAZ,,
20,340,"61,200",CHANNEL TYPE,,"Sep 3rd, 2020",LadyBoss,,
1,6,"1,914",MX,Film,"Aug 27th, 2010",Sr Serpiente,,
0,138K,0,ES,People,"May 1st, 2014",JORDI WILD,,
574,418K,"59,263,792",ES,Entertainment,"Oct 12th, 2012",ToniEmcee,,
0,138K,0,ES,People,"May 1st, 2014",Jordi Wild,,
1,95,"2,208",GR,People,"Aug 28th, 2005",,,
355,830K,"191,868,813",ES,Games,"Apr 16th, 2006",Loulogio,,
