Game,Viewers,Change,Global Share
Diablo IV,476K,1%,14.833%
Just Chatting,327K,2.2%,10.184%
League of Legends,217K,3.7%,6.754%
Counter-Strike: Global Offensive,188K,6%,5.864%
VALORANT,143K,7.2%,4.457%
Grand Theft Auto V,118K,4.6%,3.687%
Sports,109K,13.1%,3.405%
Dota 2,103K,27.5%,3.197%
Minecraft,102K,40.3%,3.188%
FIFA 23,78.2K,30.4%,2.438%
Street Fighter 6,57.6K,11.7%,1.796%
FINAL FANTASY IV,55.8K,0.8%,1.739%
Fortnite,43.9K,8.4%,1.369%
Rocket League,36.1K,4.7%,1.125%
Apex Legends,35.2K,3.9%,1.097%
Halo Infinite,34.9K,2.6%,1.089%
Casino Slot Machine,32.1K,7.3%,1%
Teamfight Tactics,31.2K,5.3%,0.973%
Pokémon Omega Ruby/Alpha Sapphire,27.3K,1.1%,0.852%
Variety,27.3K,1.6%,0.851%
Casino Slot Machine,27.9K,5.2%,0.855%
Pokémon Omega Ruby/Alpha Sapphire,27.1K,0.2%,0.831%
Chess,25.1K,1.2%,0.769%
Call of Duty: Warzone,25.1K,1.9%,0.769%
Dead by Daylight,23.9K,0.4%,0.732%
Trackmania,22.7K,7.4%,0.698%
Escape from Tarkov,19.6K,1.1%,0.602%
Rust,19.1K,10.1%,0.585%
Slots,18.3K,3.5%,0.562%
Genshin Impact,17.2K,0.8%,0.527%
PUBG: BATTLEGROUNDS,15.2K,7.7%,0.467%
World of Tanks,15.0K,2.7%,0.459%
Call of Duty: Modern Warfare II,13.7K,6.6%,0.419%
Overwatch 2,13.7K,3.8%,0.419%
Hearthstone,13.0K,12%,0.399%
The Legend of Zelda: Tears of the Kingdom,12.7K,1.2%,0.389%
Lost Ark,11.6K,0.5%,0.357%
Virtual Casino,10.9K,12%,0.333%
Madden NFL 23,10.7K,1.5%,0.33%
Art,10.4K,2.9%,0.318%
New World,10.3K,0.6%,0.316%
Black Desert,10.1K,2%,0.31%
FINAL FANTASY XIV ONLINE,10.1K,4.4%,0.308%
SMITE,9.7K,0.9%,0.298%
Albion Online,9.5K,2.1%,0.292%
ASMR,9.3K,1.6%,0.285%
ELDEN RING,9.1K,1.2%,0.279%
Old School RuneScape,8.6K,3.8%,0.263%
Destiny 2,8.5K,1.2%,0.262%
Tom Clancy's Rainbow Six Siege,8.2K,12.9%,0.252%
Age of Empires II,8.2K,6.7%,0.25%
Poly Bridge 3,7.4K,13.7%,0.227%
Pokémon Scarlet/Violet,7.2K,4.6%,0.22%
Super Smash Bros. Ultimate,7.1K,0.3%,0.219%
Demon's Souls,6.9K,3.2%,0.211%
DayZ,6.4K,2.9%,0.197%
Mechabellum,6.2K,4%,0.189%
Pools Hot Tubs and Beaches,6.0K,6.9%,0.185%
Tibia,6.0K,5.1%,0.183%
Poker,5.8K,4.3%,0.178%
iRacing,5.6K,1.5%,0.172%
Mahjong Soul,5.6K,840%,0.17%
Magic: The Gathering,5.1K,1.2%,0.156%
Travel & Outdoors,4.9K,1.8%,0.149%
Retro,4.8K,0.9%,0.147%
Veiled Experts,4.7K,25.1%,0.146%
Papers Please,4.7K,6.4%,0.144%
Project Zomboid,4.7K,1.5%,0.143%
Star Citizen,4.4K,0.6%,0.136%
Honkai: Star Rail,4.4K,2.8%,0.136%
Only Up!,4.1K,44.1%,0.127%
Hunt: Showdown,4.1K,6.1%,0.125%
F1 22,4.1K,3.5%,0.125%
FIFA Online 4,4.0K,23.3%,0.123%
MapleStory,3.9K,1.5%,0.121%
Red Dead Redemption 2,3.9K,3.6%,0.119%
Super Mario World,3.8K,1.2%,0.116%
Clash Royale,3.8K,11.8%,0.116%
VRChat,3.7K,3.1%,0.113%
StarCraft,3.7K,1.7%,0.112%
ROBLOX,3.6K,0.9%,0.112%
I'm Only Sleeping,3.5K,9.6%,0.109%
Pokémon Black/White Version 2,3.5K,0.1%,0.108%
NBA 2K23,3.4K,0.4%,0.104%
Animals Aquariums and Zoos,3.3K,2.5%,0.102%
World of Warships,3.3K,0.2%,0.102%
Sea of Thieves,3.3K,0.9%,0.102%
Star Wars Jedi: Survivor,3.3K,3.1%,0.1%
Marbles on Stream,3.2K,8.2%,0.097%
Farlight 84,3.2K,16.6%,0.097%
Talk Shows & Podcasts,3.1K,9%,0.094%
Epic Seven,3.0K,5.3%,0.092%
The Outlast Trials,3.0K,67.2%,0.092%
Age of Empires IV,3.0K,3.5%,0.091%
Fall Guys,2.9K,5%,0.089%
Heroes of Might and Magic III: The Restoration of Erathia,2.8K,0.6%,0.087%
Amnesia: The Bunker,2.7K,5.1%,0.084%
Super Smash Bros. Melee,2.7K,5.3%,0.083%
BETON BRUTAL,2.7K,2.9%,0.082%
Games + Demos,2.7K,20.2%,0.082%


