,UPLOADS,SUBSCRIBERS,VIDEO VIEWS,COUNTRY,CHANNEL TYPE,USER CREATED,Gamer
0,157,325K,"17,923,614",ES,People,"Mar 8th, 2017",Miquel Montoro
1,787,80.3K,"5,140,984",VE,Games,"May 18th, 2015",Jesús Castro
2,19,1.57K,"154,950",ES,Howto,"Oct 7th, 2011",Lola Rodríguez
3,12,257K,"4,779,325",ES,Comedy,"Sep 29th, 2012",PabloGShow
4,3,2.68K,"58,003",ES,People,"May 24th, 2010",Benji Verdes
5,98,93.1K,"5,502,349",ES,Games,"Aug 24th, 2015",Zeling
6,33,9.5K,"407,047",ES,People,"Nov 1st, 2021",Carmen Sandwich
7,"1,515",1.35M,"207,838,423",ES,Games,"Dec 19th, 2011",LakshartNia
8,41,91.7K,"3,420,730",ES,Games,"Oct 26th, 2020",Noe9977
9,335,30.6K,"4,381,578",ES,Sports,"Feb 27th, 2021",Nico Abad
10,53,1.62K,"137,099",ES,Games,"Sep 13th, 2011",Paz Boris
11,"2,299",1.94M,"404,144,789",ES,Entertainment,"Mar 12th, 2012",Celopan
12,"1,861",1.15M,"446,790,643",ES,Games,"Dec 13th, 2013",Deiak
13,"5,257",434K,"150,952,797",ES,Games,"Sep 9th, 2012",LyraGamer
14,566,1.05M,"149,995,877",ES,Comedy,"Apr 22nd, 2011",ILeoVlogs
15,0,14,0,CHANNEL TYPE,,"Dec 10th, 2014",Ampeterby
16,10,119,"33,495",PE,Games,"Feb 26th, 2019",Vicenss
17,59,361,"5,650",CHANNEL TYPE,,"Feb 23rd, 2017",Gladop
18,"2,175",152K,"35,180,777",ES,Games,"Sep 21st, 2014",Dheylo
19,432,16.8K,"2,277,609",ES,Games,"Feb 18th, 2020",Yuste
20,91,17.3K,"1,091,527",ES,Film,"Nov 20th, 2005",Polispol
21,10,14,"4,495",ES,Entertainment,"Jan 9th, 2010",ANDREA COMPTON
22,25,161K,"7,609,768",ES,Comedy,"Dec 17th, 2014",DAVID SUAREZ
23,48,1.34K,"3,035,259",CL,Autos,"Oct 19th, 2009",JOAQUIN REYES
24,288,6.48M,"1,165,092,274",ES,Music,"Oct 19th, 2011",KRONNO ZOMBER
25,"1,300",2.23M,"673,644,058",FR,Howto,"Oct 10th, 2005",CHANEL
26,27,135,836,ES,Games,"Feb 25th, 2018",PAZOS
27,109,5.34K,"357,175",ES,Comedy,"Aug 5th, 2012",JORGE YORYA
28,427,653K,"23,259,065",ES,Games,"Dec 18th, 2017",AXOZER
29,"2,175",152K,"35,180,777",ES,Games,"Sep 21st, 2014",DHEYLO
30,33,58.3K,"1,760,167",ES,Games,"Oct 26th, 2020",ANA MARRERO
