Rank,Gamer,Category,Number of Viewers,viewers,Percentage of Viewers,of,Of Game,Percentage Of Spanish viewership,of,Of Spanish,viewership
#1,KINGSLEAGUE,Sports,52347,viewers,38.62%,of Sports,20.12%,of Spanish viewership
#2,IBAI,Sports,31219,viewers,23.03%,of Sports,12%,of Spanish viewership
#3,RIVERS_GG,Sports,25840,viewers,19.06%,of Sports,9.93%,of Spanish viewership
#4,ELXOKAS,Diablo IV,8592,viewers,1.86%,of Diablo IV,3.3%,of Spanish viewership
#5,MUNDODEPORTIVO,Special Events,6550,viewers,61.8%,of Special Events,2.52%,of Spanish viewership
#6,ELMIILLOR,League of Legends,5223,viewers,2.46%,of League of Legends,2.01%,of Spanish viewership
#7,REVENANT,Diablo IV,5105,viewers,1.11%,of Diablo IV,1.96%,of Spanish viewership
#8,SOYMOTOR,Sports,4399,viewers,3.25%,of Sports,1.69%,of Spanish viewership
#9,KNEKRO,Diablo IV,3928,viewers,0.85%,of Diablo IV,1.51%,of Spanish viewership
#10,ROCKETSTREETLIVE,Rocket League,3142,viewers,10.6%,of Rocket League,1.21%,of Spanish viewership
#11,GEMITA,Sports,2641,viewers,1.95%,of Sports,1.02%,of Spanish viewership
#12,SIRMAZA,VALORANT,2563,viewers,1.56%,of VALORANT,0.99%,of Spanish viewership
#13,WERLYB,League of Legends,2431,viewers,1.14%,of League of Legends,0.93%,of Spanish viewership
#14,TANIZEN,Rust,2248,viewers,11.65%,of Rust,0.86%,of Spanish viewership
#15,XXXTHEFOCUSXXX,Rust,2146,viewers,11.12%,of Rust,0.82%,of Spanish viewership
#16,MENOSTRECE,Dead by Daylight,1956,viewers,9.22%,of Dead by Daylight,0.75%,of Spanish viewership
#17,VICTORABADG,Sports,1876,viewers,1.38%,of Sports,0.72%,of Spanish viewership
#18,LAMEDIAINGLESA,Sports,1846,viewers,1.36%,of Sports,0.71%,of Spanish viewership
#19,JUJALAG,Diablo IV,1763,viewers,0.38%,of Diablo IV,0.68%,of Spanish viewership
#20,LLUNACLARK,Travel & Outdoors,1517,viewers,6.28%,of Travel & Outdoors,0.58%,of Spanish viewership
#21,FORG1,Counter-Strike: Global Offensive,1568,viewers,1.06%,of Counter-Strike: Global Offensive,0.54%,of Spanish viewership
#22,CHIGRE,FIFA 23,1567,viewers,4.44%,of FIFA 23,0.54%,of Spanish viewership
#23,BLACKELESPANOLITO,VALORANT,1529,viewers,1.05%,of VALORANT,0.53%,of Spanish viewership
#24,HORCUS,VALORANT,1502,viewers,1.03%,of VALORANT,0.52%,of Spanish viewership
#25,ELYIHI,Sports,1491,viewers,0.92%,of Sports,0.52%,of Spanish viewership
#26,SKAIN,League of Legends,1299,viewers,0.59%,of League of Legends,0.45%,of Spanish viewership
#27,ILUTVLIVE,Just Chatting,1201,viewers,0.34%,of Just Chatting,0.42%,of Spanish viewership
#28,BORJA_ZAZO,iRacing,1169,viewers,23.34%,of iRacing,0.4%,of Spanish viewership
#29,JUAN4TV,The Simpsons,1115,viewers,60.9%,of The Simpsons,0.39%,of Spanish viewership
#30,JOANPRADELLSIFBBPRO,Just Chatting,1110,viewers,0.31%,of Just Chatting,0.38%,of Spanish viewership
#31,ANDARIEL,Diablo IV,1051,viewers,0.23%,of Diablo IV,0.36%,of Spanish viewership
#32,TONIKI,Overwatch 2,1037,viewers,7.53%,of Overwatch 2,0.36%,of Spanish viewership
#33,ALIMENTACIONCHINO,League of Legends,1020,viewers,0.46%,of League of Legends,0.35%,of Spanish viewership
#34,LACHILENABELU,Just Chatting,1008,viewers,0.28%,of Just Chatting,0.35%,of Spanish viewership
#35,SPEEDRUNSESPANOL,FINAL FANTASY IV,1003,viewers,1.83%,of FINAL FANTASY IV,0.35%,of Spanish viewership
#36,REVOLAIMAR,Clash Royale,980,viewers,32.92%,of Clash Royale,0.34%,of Spanish viewership
#37,MANUTEGAMING,Teamfight Tactics,946,viewers,2.98%,of Teamfight Tactics,0.33%,of Spanish viewership
#38,NAKOO_FN,Fortnite,921,viewers,2.34%,of Fortnite,0.32%,of Spanish viewership
#39,AXOZER,Just Chatting,835,viewers,0.23%,of Just Chatting,0.29%,of Spanish viewership
#40,FG_MILI29,Fortnite,808,viewers,2.06%,of Fortnite,0.28%,of Spanish viewership
Rank,Gamer,Category,Number of Viewers,viewers,Percentage of Viewers,of,Of Game,Percentage Of Spanish viewership,of,Of Spanish,viewership
