,Rank,Gamer,Category,Number of Viewers,Percentage of Viewers,Game,Percentage Of Spanish viewership
0,#1,KINGSLEAGUE,Sports,52347,38.62%, Sports,20.12%
1,#2,IBAI,Sports,31219,23.03%, Sports,12%
2,#3,RIVERS_GG,Sports,25840,19.06%, Sports,9.93%
3,#4,ELXOKAS,Diablo IV,8592,1.86%, Diablo IV,3.3%
4,#5,MUNDODEPORTIVO,Special Events,6550,61.8%, Special Events,2.52%
5,#6,ELMIILLOR,League of Legends,5223,2.46%, League  Legends,2.01%
6,#7,REVENANT,Diablo IV,5105,1.11%, Diablo IV,1.96%
7,#8,SOYMOTOR,Sports,4399,3.25%, Sports,1.69%
8,#9,KNEKRO,Diablo IV,3928,0.85%, Diablo IV,1.51%
9,#10,ROCKETSTREETLIVE,Rocket League,3142,10.6%, Rocket League,1.21%
10,#11,GEMITA,Sports,2641,1.95%, Sports,1.02%
11,#12,SIRMAZA,VALORANT,2563,1.56%, VALORANT,0.99%
12,#13,WERLYB,League of Legends,2431,1.14%, League  Legends,0.93%
13,#14,TANIZEN,Rust,2248,11.65%, Rust,0.86%
14,#15,XXXTHEFOCUSXXX,Rust,2146,11.12%, Rust,0.82%
15,#16,MENOSTRECE,Dead by Daylight,1956,9.22%, Dead by Daylight,0.75%
16,#17,VICTORABADG,Sports,1876,1.38%, Sports,0.72%
17,#18,LAMEDIAINGLESA,Sports,1846,1.36%, Sports,0.71%
18,#19,JUJALAG,Diablo IV,1763,0.38%, Diablo IV,0.68%
19,#20,LLUNACLARK,Travel & Outdoors,1517,6.28%, Travel & Outdoors,0.58%
20,#21,FORG1,Counter-Strike: Global Offensive,1568,1.06%, Counter-Strike: Global Offensive,0.54%
21,#22,CHIGRE,FIFA 23,1567,4.44%, FIFA 23,0.54%
22,#23,BLACKELESPANOLITO,VALORANT,1529,1.05%, VALORANT,0.53%
23,#24,HORCUS,VALORANT,1502,1.03%, VALORANT,0.52%
24,#25,ELYIHI,Sports,1491,0.92%, Sports,0.52%
25,#26,SKAIN,League of Legends,1299,0.59%, League  Legends,0.45%
26,#27,ILUTVLIVE,Just Chatting,1201,0.34%, Just Chatting,0.42%
27,#28,BORJA_ZAZO,iRacing,1169,23.34%, iRacing,0.4%
28,#29,JUAN4TV,The Simpsons,1115,60.9%, The Simpsons,0.39%
29,#30,JOANPRADELLSIFBBPRO,Just Chatting,1110,0.31%, Just Chatting,0.38%
30,#31,ANDARIEL,Diablo IV,1051,0.23%, Diablo IV,0.36%
31,#32,TONIKI,Overwatch 2,1037,7.53%, Overwatch 2,0.36%
32,#33,ALIMENTACIONCHINO,League of Legends,1020,0.46%, League  Legends,0.35%
33,#34,LACHILENABELU,Just Chatting,1008,0.28%, Just Chatting,0.35%
34,#35,SPEEDRUNSESPANOL,FINAL FANTASY IV,1003,1.83%, FINAL FANTASY IV,0.35%
35,#36,REVOLAIMAR,Clash Royale,980,32.92%, Clash Royale,0.34%
36,#37,MANUTEGAMING,Teamfight Tactics,946,2.98%, Teamfight Tactics,0.33%
37,#38,NAKOO_FN,Fortnite,921,2.34%, Fortnite,0.32%
38,#39,AXOZER,Just Chatting,835,0.23%, Just Chatting,0.29%
39,#40,FG_MILI29,Fortnite,808,2.06%, Fortnite,0.28%
40,Rank,Gamer,Category,Number of Viewers,Percentage of Viewers,,Of Game
41,#41,AXOZER,Just Chatting,835,0.23%, Just Chatting,0.29%
42,#42,FG_MILI29,Fortnite,808,2.06%, Fortnite,0.28%
43,#43,OSCARFILMS,Farlight 84,793,17.27%, Farlight 84,0.27%
44,#44,QUEWEBA1,Garena Free Fire,788,37.2%, Garena Free Fire,0.27%
45,#45,FLEXZ,Call of Duty: Warzone,750,2.95%, Call  Duty: Warzone,0.26%
46,#46,WACHINANII,Grand Theft Auto V,745,0.63%, Grand Theft Auto V,0.26%
47,#47,RANGUSTREAMER,Just Chatting,739,0.21%, Just Chatting,0.26%
48,#48,XPARGA,Grand Theft Auto V,728,0.61%, Grand Theft Auto V,0.25%
49,#49,SH4RIN,Street Fighter 6,717,1.08%, Street Fighter 6,0.25%
50,#50,MUNDODEPORTIVO,Special Events,671,21.26%, Special Events,0.23%
51,#51,KOLDERIU,FIFA 23,669,1.9%, FIFA 23,0.23%
52,#52,SP_GODLATINO,South Park,649,42.14%, South Park,0.22%
53,#53,AKUASMR,ASMR,592,6%, ASMR,0.2%
54,#54,LOKONAZO1,Minecraft,586,1.65%, Minecraft,0.2%
55,#55,CHESSCOMES,Chess,552,2.17%, Chess,0.19%
56,#56,LEVELEO,Diablo IV,547,0.12%, Diablo IV,0.19%
57,#57,IJENZ,ASMR,519,5.26%, ASMR,0.18%
58,#58,BEELCE1,Diablo IV,517,0.11%, Diablo IV,0.18%
59,#59,MATEOZ,Fortnite,508,1.29%, Fortnite,0.18%
60,#60,JEFRAIN,Just Chatting,494,0.14%, Just Chatting,0.17%
61,Rank,Gamer,Category,Number of Viewers,Percentage of Viewers,,Of Game
62,#61,SRSERPIENTE,Street Fighter 6,485,0.73%, Street Fighter 6,0.17%
63,#62,KROKETTA,Grand Theft Auto V,485,0.41%, Grand Theft Auto V,0.17%
64,#63,FUNKYMMO,Diablo IV,482,0.11%, Diablo IV,0.17%
65,#64,KIDI,Travel & Outdoors,474,1.95%, Travel & Outdoors,0.16%
66,#65,HITBOXKING,Diablo IV,469,0.1%, Diablo IV,0.16%
67,#66,ALTERTIMESK,World of Warcraft,468,1.55%, World  Warcraft,0.16%
68,#67,TORE1005,Rust,451,2.45%, Rust,0.16%
69,#68,SOYMILU4,South Park,445,28.9%, South Park,0.15%
70,#69,NECKOLOL,League of Legends,434,0.2%, League  Legends,0.15%
71,#70,LUNARIA,Just Chatting,423,0.12%, Just Chatting,0.15%
72,#71,SPINECARD,Just Chatting,416,0.12%, Just Chatting,0.14%
73,#72,ANYTIMESHIELD,Apex Legends,399,1.17%, Apex Legends,0.14%
74,#73,MK_GASSTON1990,Mortal Kombat 11,390,30.83%, Mortal Kombat 11,0.13%
75,#74,SOYLORDHERMOSO,League of Legends: Wild Rift,388,19.04%, League  Legends: Wild Rift,0.13%
76,#75,OVINXXXX,The Simpsons,384,20.97%, The Simpsons,0.13%
77,#76,IMANTADO,VALORANT,382,0.26%, VALORANT,0.13%
78,#77,ELPELOTASSSSS,Albion Online,380,3.88%, Albion Online,0.13%
79,#78,ANGELAWS,Just Chatting,374,0.11%, Just Chatting,0.13%
80,#79,ADICTOSTV,Retro,373,7.84%, Retro,0.13%
81,#80,RETROTVLATAM,El Chavo,371,76.65%, El Chavo,0.13%
